who,outfit,rain,frame,asset,index,sx,sy,sw,sh,dx,dy,dw,dh,view_w,view_h,scale_x,scale_y,opaque_width,opaque_height,opaque_pixels,clipped_pixels,clip_percent,anisotropic
husband,default,False,0,husband-motion,0,37,14,187,322,8.339354838709678,6.7408797653958885,55.321290322580644,95.25912023460411,72,104,0.2958357771260997,0.2958357771260997,55.321290322580644,95.25912023460411,33952,0,0.0,False
husband,default,False,1,husband-motion,1,306,14,159,322,12.481055718475073,6.7408797653958885,47.037888563049854,95.25912023460411,72,104,0.2958357771260997,0.2958357771260997,47.037888563049854,95.25912023460411,32729,0,0.0,False
husband,default,False,2,husband-motion,2,562,15,164,321,11.741466275659825,7.036715542521989,48.51706744868035,94.96328445747801,72,104,0.2958357771260997,0.2958357771260997,48.51706744868035,94.96328445747801,33163,0,0.0,False
husband,default,False,3,husband-motion,3,819,13,183,323,8.931026392961876,6.445043988269788,54.13794721407625,95.55495601173021,72,104,0.2958357771260997,0.2958357771260997,54.13794721407625,95.55495601173021,33870,0,0.0,False
husband,default,False,4,husband-motion,4,59,351,144,324,14.69982404692082,6.149208211143701,42.60035190615836,95.8507917888563,72,104,0.2958357771260997,0.2958357771260997,42.60035190615836,95.8507917888563,34140,0,0.0,False
husband,default,False,5,husband-motion,5,312,351,143,324,14.847741935483871,6.149208211143701,42.30451612903226,95.8507917888563,72,104,0.2958357771260997,0.2958357771260997,42.30451612903226,95.8507917888563,33398,0,0.0,False
husband,default,False,6,husband-motion,6,569,351,142,324,14.995659824046921,6.149208211143701,42.00868035190616,95.8507917888563,72,104,0.2958357771260997,0.2958357771260997,42.00868035190616,95.8507917888563,33603,0,0.0,False
husband,default,False,7,husband-motion,7,824,352,147,323,14.256070381231673,6.445043988269788,43.487859237536654,95.55495601173021,72,104,0.2958357771260997,0.2958357771260997,43.487859237536654,95.55495601173021,33450,0,0.0,False
husband,default,False,8,husband-motion,8,10,694,240,253,0.49970674486803546,27.153548387096777,71.00058651026393,74.84645161290322,72,104,0.2958357771260997,0.2958357771260997,71.00058651026393,74.84645161290322,33438,0,0.0,False
husband,default,False,9,husband-motion,9,264,697,233,276,1.5351319648093806,20.349325513196476,68.92973607038124,81.65067448680352,72,104,0.2958357771260997,0.2958357771260997,68.92973607038124,81.65067448680352,31938,0,0.0,False
